"missing_rate","missing_percent","replication","model","realised_training_missing_fraction","gnar_training_rows","rmse","mae","coverage_95"
0.5,50,2,"OLS GNAR",0.498972602739726,1056,3.8917404136468,2.72877222746171,NA
0.5,50,2,"Bayesian Gaussian GNAR",0.498972602739726,1056,3.89393668512835,2.72918540038728,0.918918918918919
0.5,50,3,"Persistence",0.493036529680365,1168,4.30502540211646,3.04724901033162,NA
0.5,50,3,"Ridge VAR",0.493036529680365,1168,3.95865475937996,2.84435939509794,NA
0.5,50,3,"OLS GNAR",0.493036529680365,1168,3.85034872611532,2.70719372992915,NA
0.5,50,3,"Bayesian Gaussian GNAR",0.493036529680365,1168,3.84969491555585,2.70717525957017,0.915315315315315
0.5,50,4,"Persistence",0.497260273972603,1054,4.31183071206451,3.05506421746422,NA
0.5,50,4,"Ridge VAR",0.497260273972603,1054,3.90357840894606,2.80709119905513,NA
0.5,50,4,"OLS GNAR",0.497260273972603,1054,3.8635601811379,2.72798185631216,NA
0.5,50,4,"Bayesian Gaussian GNAR",0.497260273972603,1054,3.86326054179397,2.72830677055505,0.927477477477477
0.5,50,5,"Persistence",0.491438356164384,1157,4.30371142435622,3.04634533363474,NA
0.5,50,5,"Ridge VAR",0.491438356164384,1157,3.96231746815324,2.79950054603971,NA
0.5,50,5,"OLS GNAR",0.491438356164384,1157,3.87050930670152,2.70778409978519,NA
0.5,50,5,"Bayesian Gaussian GNAR",0.491438356164384,1157,3.87063045246539,2.70759941591524,0.91981981981982
0.5,50,6,"Persistence",0.508904109589041,1023,4.30408054188903,3.04450130012141,NA
0.5,50,6,"Ridge VAR",0.508904109589041,1023,3.87129250778678,2.7404436895202,NA
0.5,50,6,"OLS GNAR",0.508904109589041,1023,3.84782335459877,2.70764432517683,NA
0.5,50,6,"Bayesian Gaussian GNAR",0.508904109589041,1023,3.8486349908025,2.70711244500956,0.914414414414414
0.5,50,7,"Persistence",0.491780821917808,1095,4.31383892920827,3.05623573544959,NA
0.5,50,7,"Ridge VAR",0.491780821917808,1095,3.88977515148287,2.79118139408661,NA
0.5,50,7,"OLS GNAR",0.491780821917808,1095,3.94413252608962,2.742039993488,NA
0.5,50,7,"Bayesian Gaussian GNAR",0.491780821917808,1095,3.94404561755995,2.74193337598921,0.914414414414414
0.5,50,8,"Persistence",0.488127853881279,1113,4.30380228464142,3.04550807809503,NA
0.5,50,8,"Ridge VAR",0.488127853881279,1113,4.00632380132353,2.83629449663175,NA
0.5,50,8,"OLS GNAR",0.488127853881279,1113,3.82616858606003,2.71828359729622,NA
0.5,50,8,"Bayesian Gaussian GNAR",0.488127853881279,1113,3.8255763431445,2.71760469590851,0.931531531531532
0.5,50,9,"Persistence",0.49486301369863,1147,4.31348354941343,3.05562805902317,NA
0.5,50,9,"Ridge VAR",0.49486301369863,1147,3.96344505339037,2.80914632184367,NA
0.5,50,9,"OLS GNAR",0.49486301369863,1147,3.89852261987508,2.74541957954286,NA
0.5,50,9,"Bayesian Gaussian GNAR",0.49486301369863,1147,3.89842561369101,2.74533843335943,0.914414414414414
0.5,50,10,"Persistence",0.506849315068493,1042,4.30623229208403,3.04695073169584,NA
0.5,50,10,"Ridge VAR",0.506849315068493,1042,4.04575711707056,2.89061142952699,NA
0.5,50,10,"OLS GNAR",0.506849315068493,1042,3.86964614538283,2.71348333687019,NA
0.5,50,10,"Bayesian Gaussian GNAR",0.506849315068493,1042,3.86691939928926,2.71330151814972,0.935135135135135
0.6,60,1,"Persistence",0.586073059360731,594,4.30999935290677,3.0508941463061,NA
0.6,60,1,"Ridge VAR",0.586073059360731,594,3.93222213031042,2.80948672340957,NA
0.6,60,1,"OLS GNAR",0.586073059360731,594,3.83352464542924,2.71795379212679,NA
0.6,60,1,"Bayesian Gaussian GNAR",0.586073059360731,594,3.83310668847078,2.71716215077179,0.895045045045045
0.6,60,2,"Persistence",0.595319634703196,576,4.31218394658006,3.05474544426555,NA
0.6,60,2,"Ridge VAR",0.595319634703196,576,4.05133071458897,2.88949541878815,NA
0.6,60,2,"OLS GNAR",0.595319634703196,576,3.9025659005006,2.71640239103384,NA
0.6,60,2,"Bayesian Gaussian GNAR",0.595319634703196,576,3.9027883732681,2.71566688903126,0.913063063063063
0.6,60,3,"Persistence",0.60216894977169,504,4.30988235939377,3.05212767758583,NA
0.6,60,3,"Ridge VAR",0.60216894977169,504,4.0470342993311,2.89419378709853,NA
0.6,60,3,"OLS GNAR",0.60216894977169,504,3.82268160488205,2.75611153415296,NA
0.6,60,3,"Bayesian Gaussian GNAR",0.60216894977169,504,3.82297060894031,2.75654886257618,0.945045045045045
0.6,60,4,"Persistence",0.592922374429224,538,4.31036096359784,3.0528473399112,NA
0.6,60,4,"Ridge VAR",0.592922374429224,538,4.02237611588137,2.87717938768712,NA
0.6,60,4,"OLS GNAR",0.592922374429224,538,3.85820441697556,2.7190897819313,NA
0.6,60,4,"Bayesian Gaussian GNAR",0.592922374429224,538,3.85690770251049,2.7197678450506,0.926126126126126
